V1,V2,V3
-125.560990712074,48.383306836248,-145.511566162109
-125.54427244582,48.383306836248,-145.041564941406
-125.527554179567,48.383306836248,-140.771560668945
-125.510835913313,48.383306836248,-137.441558837891
-125.494117647059,48.383306836248,-134.191558837891
-125.477399380805,48.383306836248,-131.001571655273
-125.460681114551,48.383306836248,-131.462982177734
-125.443962848297,48.383306836248,-131.572982788086
-125.427244582043,48.383306836248,-154.582977294922
-125.410526315789,48.383306836248,-175.802978515625
-125.393808049536,48.383306836248,-155.732986450195
-125.377089783282,48.383306836248,-131.47297668457
-125.360371517028,48.383306836248,-125.912979125977
-125.343653250774,48.383306836248,-121.162979125977
-125.32693498452,48.383306836248,-118.010665893555
-125.310216718266,48.383306836248,-115.950660705566
-125.293498452012,48.383306836248,-116.860664367676
-125.276780185759,48.383306836248,-119.240661621094
-125.260061919505,48.383306836248,-149.1806640625
-125.243343653251,48.383306836248,-182.710662841797
-125.226625386997,48.383306836248,-182.620666503906
-125.209907120743,48.383306836248,-181.75065612793
-125.193188854489,48.383306836248,-177.824157714844
-125.176470588235,48.383306836248,-181.734161376953
-125.159752321981,48.383306836248,-135.074157714844
-125.143034055728,48.383306836248,-118.384155273438
-125.126315789474,48.383306836248,-118.654151916504
-125.10959752322,48.383306836248,-118.33415222168
-125.092879256966,48.383306836248,-120.424156188965
-125.076160990712,48.383306836248,-121.924156188965
-125.059442724458,48.383306836248,-130.319778442383
-125.042724458204,48.383306836248,-159.089782714844
-125.02600619195,48.383306836248,-228.02978515625
-125.009287925697,48.383306836248,-302.399780273438
-124.992569659443,48.383306836248,-195.449783325195
-124.975851393189,48.383306836248,-118.769775390625
-124.959133126935,48.383306836248,-115.839775085449
-124.942414860681,48.383306836248,-123.09977722168
-124.925696594427,48.383306836248,-128.017028808594
-124.908978328173,48.383306836248,-237.827026367188
-124.89226006192,48.383306836248,-317.977020263672
-124.875541795666,48.383306836248,-311.897033691406
-124.858823529412,48.383306836248,-235.317031860352
-124.842105263158,48.383306836248,-204.77702331543
-124.825386996904,48.383306836248,-159.827026367188
-124.80866873065,48.383306836248,-107.307029724121
-124.791950464396,48.383306836248,-86.4636306762695
-124.775232198142,48.383306836248,-90.6636352539062
-124.758513931889,48.383306836248,-66.8836364746094
-124.741795665635,48.383306836248,-39.3636322021484
-124.725077399381,48.383306836248,47.3463668823242
-124.708359133127,48.383306836248,190.336364746094
-124.691640866873,48.383306836248,252.656372070312
-124.674922600619,48.383306836248,279.186370849609
-124.658204334365,48.383306836248,228.264831542969
-124.641486068111,48.383306836248,113.754829406738
-124.624767801858,48.383306836248,2.9948308467865
-124.608049535604,48.383306836248,-6.34516906738281
-124.59133126935,48.383306836248,3.26483082771301
-124.574613003096,48.383306836248,-15.9051694869995
-124.557894736842,48.383306836248,-32.9451675415039
-124.541176470588,48.383306836248,-51.6551704406738
-124.524458204334,48.383306836248,-76.0508728027344
-124.507739938081,48.383306836248,-93.3708724975586
-124.491021671827,48.383306836248,-114.080871582031
-124.474303405573,48.383306836248,-128.950866699219
-124.457585139319,48.383306836248,-151.97087097168
-124.440866873065,48.383306836248,-174.960876464844
-124.424148606811,48.383306836248,-195.740875244141
-124.407430340557,48.383306836248,-214.050872802734
-124.390712074303,48.383306836248,-228.333251953125
-124.37399380805,48.383306836248,-236.443252563477
-124.357275541796,48.383306836248,-234.783248901367
-124.340557275542,48.383306836248,-225.513259887695
-124.323839009288,48.383306836248,-220.533248901367
-124.307120743034,48.383306836248,-214.083251953125
-124.29040247678,48.383306836248,-205.75325012207
-124.273684210526,48.383306836248,-194.623245239258
-124.256965944272,48.383306836248,-185.761947631836
-124.240247678019,48.383306836248,-182.891952514648
-124.223529411765,48.383306836248,-181.431945800781
-124.206811145511,48.383306836248,-178.801940917969
-124.190092879257,48.383306836248,-172.57194519043
-124.173374613003,48.383306836248,-167.791946411133
-124.156656346749,48.383306836248,-161.551940917969
-124.139938080495,48.383306836248,-153.41194152832
-124.123219814241,48.383306836248,-154.897247314453
-124.106501547988,48.383306836248,-153.037246704102
-124.089783281734,48.383306836248,-142.457244873047
-124.07306501548,48.383306836248,-131.797256469727
-124.056346749226,48.383306836248,-123.647254943848
-124.039628482972,48.383306836248,-116.957252502441
-124.022910216718,48.383306836248,-111.137252807617
-124.006191950464,48.383306836248,-105.287254333496
-123.989473684211,48.383306836248,-72.8077239990234
-123.972755417957,48.383306836248,-57.2577247619629
-123.956037151703,48.383306836248,-44.0377235412598
-123.939318885449,48.383306836248,-34.9877243041992
-123.922600619195,48.383306836248,-20.6177234649658
-123.905882352941,48.383306836248,-12.5177230834961
-123.889164086687,48.383306836248,-12.2177238464355
-123.872445820433,48.383306836248,-3.42772340774536
-123.85572755418,48.383306836248,2.63533139228821
-123.839009287926,48.383306836248,25.735330581665
-123.822291021672,48.383306836248,75.4553298950195
-123.805572755418,48.383306836248,53.5053329467773
-123.788854489164,48.383306836248,48.46533203125
-123.77213622291,48.383306836248,43.3953323364258
-123.755417956656,48.383306836248,84.4853286743164
-123.738699690402,48.383306836248,56.5253295898438
-123.721981424149,48.383306836248,26.6730117797852
-123.705263157895,48.383306836248,8.82301044464111
-123.688544891641,48.383306836248,23.953010559082
-123.671826625387,48.383306836248,-6.56698894500732
-123.655108359133,48.383306836248,-8.51698875427246
-123.638390092879,48.383306836248,-2.50698924064636
-123.621671826625,48.383306836248,67.8730087280273
-123.604953560372,48.383306836248,147.383010864258
-123.588235294118,48.383306836248,137.794128417969
-123.571517027864,48.383306836248,149.044128417969
-123.55479876161,48.383306836248,98.1541290283203
-123.538080495356,48.383306836248,51.4841270446777
-123.521362229102,48.383306836248,17.4341259002686
-123.504643962848,48.383306836248,-10.2858743667603
-123.487925696594,48.383306836248,-23.5858745574951
-123.471207430341,48.383306836248,-9.53587436676025
-123.454489164087,48.383306836248,-16.132511138916
-123.437770897833,48.383306836248,-20.2125110626221
-123.421052631579,48.383306836248,-22.632511138916
-123.404334365325,48.383306836248,-23.7425098419189
-123.387616099071,48.383306836248,-23.9025096893311
-123.370897832817,48.383306836248,-23.2525100708008
-123.354179566563,48.383306836248,-22.382511138916
-123.33746130031,48.383306836248,-21.4925098419189
-123.320743034056,48.383306836248,-21.1844005584717
-123.304024767802,48.383306836248,-21.9443988800049
-123.287306501548,48.383306836248,-24.9244003295898
-123.270588235294,48.383306836248,-29.5243988037109
-123.25386996904,48.383306836248,-35.2144012451172
-123.237151702786,48.383306836248,-42.2844009399414
-123.220433436533,48.383306836248,-50.2444000244141
-123.203715170279,48.383306836248,-57.0243988037109
-123.186996904025,48.383306836248,-58.5813484191895
-123.170278637771,48.383306836248,-55.2813491821289
-123.153560371517,48.383306836248,-49.9613494873047
-123.136842105263,48.383306836248,-49.2613487243652
-123.120123839009,48.383306836248,-70.3613510131836
-123.103405572755,48.383306836248,-107.351348876953
-123.086687306502,48.383306836248,-136.251342773438
-123.069969040248,48.383306836248,-145.461349487305
-123.053250773994,48.383306836248,-148.878692626953
-123.03653250774,48.383306836248,-136.008697509766
-123.019814241486,48.383306836248,-138.65869140625
-123.003095975232,48.383306836248,-152.388687133789
-122.986377708978,48.383306836248,-151.488693237305
-122.969659442724,48.383306836248,-131.298690795898
-122.952941176471,48.383306836248,-109.488693237305
-122.936222910217,48.383306836248,-93.6986923217773
-122.919504643963,48.383306836248,-85.9519271850586
-122.902786377709,48.383306836248,-80.6519317626953
-122.886068111455,48.383306836248,-88.0419311523438
-122.869349845201,48.383306836248,-93.8819274902344
-122.852631578947,48.383306836248,-84.9619293212891
-122.835913312693,48.383306836248,-80.48193359375
-122.81919504644,48.383306836248,-75.7619323730469
-122.802476780186,48.383306836248,-75.6819305419922
-122.785758513932,48.383306836248,-77.4447021484375
-122.769040247678,48.383306836248,-83.7647018432617
-122.752321981424,48.383306836248,-86.7846984863281
-122.73560371517,48.383306836248,-87.4846954345703
-122.718885448916,48.383306836248,-90.2046966552734
-122.702167182663,48.383306836248,-85.2647018432617
-122.685448916409,48.383306836248,-77.564697265625
-122.668730650155,48.383306836248,-38.124698638916
-122.652012383901,48.383306836248,16.9164276123047
-122.635294117647,48.383306836248,59.4464263916016
-122.618575851393,48.383306836248,91.7564239501953
-122.601857585139,48.383306836248,103.786430358887
-122.585139318885,48.383306836248,97.0464248657227
-122.568421052632,48.383306836248,-1.76357233524323
-122.551702786378,48.383306836248,-2.33357238769531
-122.534984520124,48.383306836248,-0.333572298288345
-122.51826625387,48.383306836248,20.8727207183838
-122.501547987616,48.383306836248,9.57271957397461
-122.484829721362,48.383306836248,1.37271988391876
-122.468111455108,48.383306836248,2.29271984100342
-122.451393188854,48.383306836248,5.82272005081177
-122.434674922601,48.383306836248,21.8027191162109
-122.417956656347,48.383306836248,2.06271982192993
-122.401238390093,48.383306836248,0.862719893455505
-122.384520123839,48.383306836248,2.11098074913025
-122.367801857585,48.383306836248,2.20098066329956
-122.351083591331,48.383306836248,2.95098066329956
-122.334365325077,48.383306836248,1.88098073005676
-122.317647058824,48.383306836248,2.63098073005676
-122.30092879257,48.383306836248,24.7509803771973
-122.284210526316,48.383306836248,213.650985717773
-122.267492260062,48.383306836248,308.180969238281
-122.250773993808,48.383306836248,257.871917724609
-122.234055727554,48.383306836248,186.581924438477
-122.2173374613,48.383306836248,58.3319206237793
-122.200619195046,48.383306836248,92.6219253540039
-122.183900928793,48.383306836248,97.3319244384766
-122.167182662539,48.383306836248,140.131927490234
-122.150464396285,48.383306836248,330.471923828125
-122.133746130031,48.383306836248,607.501892089844
-122.117027863777,48.383306836248,749.470153808594
